postal_code,walk_score,bike_score,transit_score
T2H 0V4,47,57,54
T2X 4A8,12,45,38
T2J 6M1,46,59,32
T2V 1V3,63,78,42
T2X 1L1,43,71,54
T2Y 3T2,20,48,34
T3K 2E5,31,65,48
T2G 5R4,33,87,54
T2W 4C6,20,48,29
T3H 4K1,24,56,52
T3M 1R3,8,55,34
T3R 0R6,9,36,30
T3R 0L1,8,41,30
T2V 0V1,50,88,62
T3G 5T8,34,67,35
T2H 3A1,72,79,63
T3B 5Z4,1,38,23
T2X 4H9,N/A,N/A,N/A
T3N 0N4,N/A,N/A,N/A
T3A 4W5,29,64,28
T2W 2A4,17,60,54
T2M 3E1,28,81,50
T2G 1B5,40,87,54
T3B 3T5,19,60,31
T2Z 2Y9,41,62,45
T3A 5N4,14,44,37
T2Z 0G3,17,44,42
T2J 1C9,21,68,29
T3P 0P3,13,55,34
T3H 4B4,19,65,38
T3B 4W4,27,81,48
T3E 3H4,58,69,48
T2T 5P8,57,82,44
T2B 2E4,9,55,42
T2L 1G4,47,73,43
T2E 7X9,24,54,34
T3K 6G5,21,42,37
T2M 1N5,60,81,52
T2R 0Y9,93,95,75
T2P 5M5,86,99,69
T2M 1Y6,41,89,52
T3J 0N7,32,51,23
T2W 2T6,49,74,55
T2W 5T9,16,64,25
T3N 1G9,1,31,31
T3G 5C2,36,51,28
T2X 1J1,27,63,43
T2E 3X9,74,97,64
T3M 1H1,26,67,36
T3H 2W6,26,55,55
T3H 1G9,39,64,37
T3L 1P3,36,66,49
T3A 1H7,49,78,59
T2E 4G8,75,99,55
T3B 6C5,9,41,36
T2G 1S2,26,57,38
T3M 2P3,40,72,37
T2W 4Z5,28,55,27
T3G 1Y5,76,76,53
T2T 0M3,49,85,53
T3E 7T7,44,63,48
T1Y 6W2,34,65,41
T2X 0P4,17,49,40
T1Y 4G6,50,72,41
T2Z 0L9,36,75,45
T2R 0R8,95,97,71
T3K 3X4,68,71,47
T2T 6J7,75,81,47
T3P 0E9,0,33,0
T3J 1J9,29,57,48
T2E 2B1,66,83,53
T3C 0T8,87,90,61
T3L 3A6,32,51,23
T2P 3P3,93,96,77
T3K 4V1,57,67,53
T3L 2K4,26,62,28
T3B 0H6,51,78,41
T3B 3K1,16,73,34
T3A 2E3,62,91,43
T2T 1T3,68,82,47
T3L 2V8,21,74,23
T3G 3C1,35,47,34
T3A 5Z9,30,23,36
T2T 2P3,37,78,40
T2V 1V5,63,73,43
T3M 1W4,3,49,28
T2J 0W3,60,62,54
T2X 3A7,10,45,38
T2N 0K3,53,90,53
T2C 4G7,25,70,39
T3M 3A6,8,55,34
T3A 1M4,37,74,57
T2B 0E1,44,62,49
T3R 0P6,14,47,34
T3G 3L5,54,65,42
T3A 0M1,54,80,56
T2K 4E4,43,67,57
T2J 1R9,41,70,31
T2Z 1J3,2,47,27
T2Z 4K2,44,75,45
T3A 1B9,46,77,61
T2W 0S7,47,56,49
T2P 5G3,91,96,76
T3J 1G1,50,71,49
T3P 1G4,59,64,37
T3H 5C1,30,72,38
T2L 1J5,67,92,65
T3M 3C1,8,55,34
T2W 2J4,46,57,34
T3R 0T9,12,46,30
T3G 5V2,52,72,36
T2J 1X3,25,59,29
T2K 1V3,63,85,44
T2B 1V1,37,60,48
T2Z 3V3,60,85,47
T2G 4K5,48,83,53
T3M 2L9,8,55,34
T2J 4P8,13,65,34
T1Y 2C3,38,76,40
T2T 3H8,33,76,44
T2A 5E4,54,61,54
T3M 2K5,8,55,34
T2C 2C6,25,49,39
T3M 0Y5,41,70,41
T3M 2L5,8,55,34
T2J 3P5,30,68,30
T3E 2W8,64,71,51
T3M 2E3,31,74,37
T2E 0X1,81,98,55
T3M 0T9,35,69,37
T1X 1A6,4,29,N/A
T3J 3Y6,7,56,38
T2V 1N3,38,79,51
T1Y 4P2,51,70,40
T2C 5G3,42,78,44
T2S 2T9,78,98,56
T3P 1K1,0,30,0
T2Z 4B7,41,67,46
T3M 1Y3,8,55,34
T2Z 1X4,25,63,40
T3B 6G3,0,33,23
T1Y 7A3,38,65,42
T2Z 3Y6,14,42,41
T3J 3E1,39,69,59
T3L 0C4,7,21,20
T2N 0E1,71,98,65
T3G 1M2,9,56,42
T2Z 4S7,39,56,42
T2R 0P2,90,97,68
T2Y 0B7,10,37,25
T2M 1S4,65,83,52
T3K 2G4,15,50,29
T3H 0E4,61,66,32
T3M 0T5,40,73,38
T2T 1A5,49,81,48
T3L 2S4,11,52,50
T3M 0E1,22,45,37
T3K 4Z1,54,72,42
T2T 4M9,53,78,51
T3A 6M1,7,9,37
T3H 0E6,61,66,32
T3R 0K2,16,47,37
T2H 1N1,62,83,61
T3J 1A9,41,66,44
T2P 5N3,91,96,76
T3H 5W9,34,74,37
T3A 2M5,27,55,38
T2E 0P3,72,99,57
T2E 5B9,39,73,45
T3K 5A3,44,66,45
T3G 0G1,21,61,33
T3R 0C8,10,43,30
T3G 0E9,35,70,35
T2X 3J2,15,38,36
T3K 5Y9,78,77,49
T2E 0P9,81,96,52
T3H 5C4,23,70,36
T2K 0G5,29,81,44
T2K 0W8,36,80,53
T2X 1K1,22,61,37
T2T 4K1,70,85,51
T3H 5N4,1,54,26
T3A 6G8,17,46,33
T1Y 4W8,67,77,62
T3M 0R6,13,36,34
T2Z 1M3,20,43,39
T3H 6C2,25,50,44
T3N 1L5,0,26,18
T2Z 0C1,13,61,32
T2Z 0Y1,53,81,47
T3K 4X3,59,93,44
T2L 1L3,62,82,61
T3J 0H2,54,75,62
T3E 7R2,30,63,46
T3K 6K6,61,59,53
T3R 0S5,22,51,38
T3J 4V9,8,61,40
T2E 1M2,75,94,61
T3C 2Y8,37,76,48
T2E 1E2,85,96,56
T2Z 2G5,12,40,40
T3A 5P2,11,58,32
T2J 6H6,28,52,34
T2Y 4J3,53,43,59
T2A 2W4,45,58,53
T2Y 2V2,2,53,40
T2Z 1L3,23,70,38
T2E 5P2,58,88,41
T3J 0N8,16,69,55
T3R 0W2,0,38,0
T3J 4Z9,37,72,60
T2B 3L4,25,56,39
T3H 1B8,44,74,37
T2C 5E5,14,59,41
T3A 5P6,10,38,37
T3G 0G3,35,70,35
T3L 2H1,25,62,53
T3L 0A3,20,65,34
T2E 4P2,65,97,51
T2E 1C7,78,86,50
T3M 0H3,8,37,35
T2T 3K1,85,81,51
T2X 2C3,1,50,21
T2B 1A4,68,63,52
T3K 5C2,11,62,44
T2J 4S4,26,66,34
T3B 2V9,48,84,59
T2T 4L7,38,82,38
T3G 4N3,13,37,36
T2Z 2S4,12,55,38
T2T 3Y8,79,85,50
T2X 2B3,12,45,38
T3P 1L8,0,30,0
T3B 5V8,5,47,23
T2E 5H2,55,92,39
T3E 6R1,46,62,43
T2S 2V2,72,97,57
T3A 2X3,26,51,40
T3B 3B9,44,73,56
T3M 0P4,9,35,34
T2N 2V1,49,77,58
T3K 5Z1,50,57,53
T2X 2E2,38,74,52
T2K 3R1,61,89,52
T3B 4V7,16,79,45
T3A 5M4,16,62,38
T2T 2A9,54,80,42
T2J 4Z4,11,64,29
T3H 0C8,34,60,30
T3K 3G3,15,54,29
T2K 5X1,58,79,51
T3M 1E2,6,40,39
T2T 4C5,53,81,42
T2A 3S7,42,56,48
T3E 4L2,49,73,53
T2E 2K2,34,78,46
T2J 3E9,19,59,30
T3C 3X7,18,51,51
T2M 1E1,60,86,52
T3H 0T8,25,50,44
T1Y 6S5,49,72,60
T2E 4Z6,65,96,63
T2Y 3T3,19,37,33
T2B 1L5,64,64,52
T3H 0X1,25,50,44
T2T 1P6,48,78,46
T2T 4J1,39,80,36
T2T 1H5,53,75,48
T2K 0W6,37,79,52
