price,address,postal_code,bedrooms,bath,property_type
249900,305 - 1513 26 AVE SW,T2T 1C4,2 bed,1 bath,condo
719500,2728 COCHRANE RD NW,T2M 4H9,4 bed,3 + 1 bath,house
679900,145 ELGIN ESTATES PK SE,T2Z 0B8,4 bed,3 + 1 bath,house
639000,191 ROCKY RIDGE DR NW,T3G 4M1,4 bed,3 bath,house
299000,1603 - 135 13 AVE SW,T2R 0W8,1 bed,1 bath,condo
584888,66 COPPERPOND ST SE,T2Z 1J2,4 bed,3 + 1 bath,house
270000,1714 - 1111 6 AVE SW,T2P 5M5,1 bed,1 bath,condo
619000,1429 40 ST SW,T3C 1W8,4 bed,3 + 1 bath,house
239900,201 - 315 24 AVE SW,T2S 3E7,1 bed,1 bath,condo
420000,309 SHAWINIGAN DR SW,T2Y 3A2,4 bed,2 + 1 bath,house
699900,106 - 221 QUARRY WAY SE,T2C 5M7,2 bed,2 bath,condo
375000,20 COPPERSTONE TERR SE,T2Z 0J3,4 bed,2 bath,house
839900,19 WESTRIDGE CRES SW,T3H 5C9,4 bed,3 + 1 bath,house
498800,245 ALLAN CRES SE,T2J 0T3,4 bed,1 + 1 bath,house
298900,402 - 2419 CENTRE ST N,T2E 2T8,2 bed,2 bath,condo
439900,39 SKYVIEW SPRINGS MANOR NE,T3N 0A8,3 bed,2 + 1 bath,house
545000,1612 LAKE BONAVISTA DR SE,T2J 3H1,5 bed,2 + 1 bath,house
639900,833 5 Avenue,T2E 4H1,4 bed,3 + 1 bath,townhouse
379900,134 PANATELLA HILL NW,T3K 0B6,4 bed,3 + 1 bath,house
679900,9 CRANARCH PT SE,T3M 0V5,4 bed,3 + 1 bath,house
3399000,3617 8A ST SW,T2T 3B4,5 bed,4 + 1 bath,house
409900,6 BRIDLEWOOD GDNS SW,T2Y 3R4,3 bed,2 bath,house
799000,3406 3 AVE SW,T3C 1B2,5 bed,3 + 1 bath,house
739900,2128 9 AVE NW,T2N 1E4,2 bed,1 bath,house
1089000,1433 SHELBOURNE ST SW,T3C 2L1,4 bed,2 + 1 bath,house
149900,7 - 3800 FONDA WAY SE,T2A 6G8,2 bed,1 bath,townhouse
459900,32 TEMPLEVALE WAY NE,T1Y 4V2,4 bed,3 + 1 bath,house
449900,214 12A ST NE,T2E 4R7,1 bed,1 bath,house
399900,3 CHAPALINA CRES SE,T2X 3R3,3 bed,1 + 1 bath,house
495000,636 ACADIA DR SE,T2J 0B8,3 bed,2 + 1 bath,house
524900,191 REDSTONE HTS NE,T3N 0T9,3 bed,2 + 1 bath,house
209990,1205 - 8810 ROYAL BIRCH BLVD NW,T3G 6A9,2 bed,2 bath,condo
769000,3213 28 ST SW,T3E 2J4,4 bed,3 + 1 bath,house
599000,9716 ACADEMY DR SE,T2J 1A8,6 bed,3 bath,house
529000,148 WOODSIDE CIR SW,T2W 3K3,5 bed,3 + 1 bath,house
280000,106 - 15 ASPENMONT HTS SW,T3H 0E3,2 bed,2 bath,condo
324900,1907 - 3820 BRENTWOOD RD NW,T2L 2L5,2 bed,1 bath,condo
169900,204 - 1534 15 AVE SW,T3C 0X9,1 bed,1 bath,condo
258500,27 - 2210 OAKMOOR DR SW,T2V 4R4,3 bed,2 + 1 bath,townhouse
489900,32 DOUGLAS RIDGE GREEN SE,T2Z 2T2,4 bed,3 + 1 bath,house
225000,204 - 69 SPRINGBOROUGH CRT SW,T3H 5V5,1 bed,1 bath,condo
494900,117 PRESTWICK ESTATE WAY SE,T2Z 3Z2,4 bed,3 + 1 bath,house
209900,6111 - 755 COPPERPOND BLVD SE,T2Z 4R2,2 bed,2 bath,condo
299900,1511 11 Street SW,T2R 1R3,2 bed,2 + 1 bath,townhouse
170000,59 - 4769 HUBALTA RD SE,T2B 2N9,3 bed,1 + 1 bath,townhouse
667500,1308 38 AVE SW,T2T 2J7,5 bed,2 bath,house
1365000,74 DISCOVERY RIDGE MANOR SW,T3H 5L8,5 bed,3 + 1 bath,house
319900,36 MARTIN CROSSING MANOR NE,T3J 3R6,3 bed,2 + 1 bath,house
474900,517 CRANFORD DR SE,T3M 1W1,3 bed,2 + 1 bath,house
1750000,63 BEL AIRE PL SW,T2V 2C3,5 bed,7 + 2 bath,house
428000,140 DEERCREST CLOSE SE,T2J 5T3,4 bed,2 + 1 bath,house
830000,49 LEGACY MOUNT SE,T2X 2C8,3 bed,2 + 1 bath,house
375000,135 DOVERGLEN PL SE,T2B 2S7,3 bed,2 + 1 bath,house
474900,1139 HUNTERSTON RD NW,T2K 4M9,5 bed,2 bath,house
490000,248 SIGNAL HILL CIR SW,T3H 2J4,3 bed,2 + 1 bath,house
159900,263 Redstone Street NE,T3N 1M6,1 bed,1 bath,townhouse
625000,216 SIGNAL HILL CIR SW,T3H 2J2,3 bed,2 + 1 bath,house
559900,78 AUBURN CREST WAY SE,T3M 0Z3,4 bed,2 + 1 bath,house
364888,646 EVERMEADOW RD SW,T2Y 4X1,3 bed,2 + 1 bath,house
289000,1830 41 ST SE,T2B 1C3,3 bed,2 bath,house
279900,303 - 130 25 AVE SW,T2S 0K9,2 bed,1 bath,condo
349900,409 - 300 HARVEST HILLS PL NE,T3K 2P4,2 bed,2 bath,condo
668800,56 EVERGREEN ROW SW,T2Y 5H9,5 bed,3 + 1 bath,house
369900,362 - 7030 COACH HILL RD SW,T3H 1E4,2 bed,2 bath,condo
369000,304 CRAMOND CLOSE SE,T3M 1B9,3 bed,2 + 1 bath,house
385000,401 - 1010 CENTRE AVE NE,T2E 9C4,3 bed,2 bath,condo
398000,402 - 830 CENTRE AVE NE,T2E 9C3,2 bed,2 bath,condo
588000,260 SIERRA MADRE CRT SW,T3H 3G7,5 bed,3 + 1 bath,house
319888,2103 - 901 10 AVE SW,T2R 0B5,1 bed,1 bath,condo
504900,432 LIVINGSTON VIEW NE,T3P 0Z8,3 bed,2 + 1 bath,house
589990,4 CHAPALINA COMMON SE,T2X 3X2,5 bed,3 + 1 bath,house
290000,801 Citadel  Terrace NW,T3G 3X3,3 bed,2 + 1 bath,townhouse
759000,5604 HENWOOD ST SW,T3E 6Z4,4 bed,3 + 1 bath,house
349000,424 - 4350 SETON DR SE,T3M 3B1,2 bed,2 bath,condo
249900,1113 - 928 ARBOUR LAKE RD NW,T3G 5T2,2 bed,2 bath,condo
457999,194 EVANSCREST PL NW,T3P 1J4,4 bed,4 bath,house
409900,1215 - 95 BURMA STAR RD SW,T3E 8A9,2 bed,2 bath,condo
